DATE,TEMP,DEWP,SLP,VISIB,WDSP,PRCP,COND
5-18-1973,28.38888889,59.2,1004.1,2.8,3.3,0,0
5-19-1973,30.72222222,60.8,1003.7,2.1,2.2,0,0
5-20-1973,32.88888889,61,1003.1,2.6,2.8,0,0
5-21-1973,33.44444444,60.8,1001.9,2.1,3.9,0,1
5-22-1973,35,65.1,1001.6,6.5,5.7,0,0
5-23-1973,35,73.7,1002.3,2.3,3.5,0,0
5-24-1973,33.72222222,73.4,1001.9,1.4,1.5,0,0
5-25-1973,35.88888889,52.5,1001.5,2.3,5.2,0,0
5-26-1973,37.5,54.2,999.4,2.5,7.9,0,0
5-27-1973,36,58.7,997.6,2,2.1,0,0
5-28-1973,36,61.6,994.5,0.9,3.7,0,0
5-29-1973,31.77777778,59.2,998.3,2.8,9.5,0,0
5-30-1973,31.61111111,59.2,999.8,2.5,2.5,0,0
5-31-1973,33.27777778,63.5,1001.4,1.9,1.9,0,0
06/01/1973,33.66666667,58.1,1001.5,0.6,2.8,0,0
06/02/1973,34.38888889,59,1001.7,1.4,3,0,0
06/03/1973,35.44444444,62.9,1000.9,1.5,0.8,0,0
06/04/1973,36.27777778,66.2,997.4,1.2,0,0,0
06/05/1973,37,64.9,995.9,1.7,0.6,0,0
06/06/1973,39.5,53.4,995.1,0.7,9.5,0,0
06/07/1973,38.33333333,58.1,995,0.5,5.7,0,0
06/08/1973,36,68,995.7,1.1,6.8,0,0
06/09/1973,33.72222222,71.9,998,1.8,4.6,0,0
06/10/1973,33.72222222,72.9,998.6,2.1,3,0,0
06/11/1973,34.88888889,72.9,998.2,2.2,2.5,0,0
06/12/1973,34.33333333,73.7,998.1,1.7,4.5,0,0
6-13-1973,32.83333333,73.7,994.3,1.3,10.4,0,1
6-14-1973,35.44444444,70.8,988.4,0.8,16,0,0
6-15-1973,35.27777778,71.9,984.4,0.3,14.3,0,0
6-16-1973,32.83333333,75.5,986.6,0.6,5.6,0,0
6-17-1973,31.5,73.1,988.8,1.7,4.4,0,0
6-18-1973,28.16666667,73.4,994.6,2.5,6,0.01,0
6-19-1973,30.5,75.8,995.1,2.5,4.3,0,0
6-20-1973,31.38888889,75.2,995.8,2.2,3.8,0,0
6-21-1973,30.16666667,74.9,999.1,2.5,3.3,0,0
6-22-1973,31.16666667,73.7,999.3,1.1,2.3,0,0
6-23-1973,33.11111111,73.6,998.1,0.5,2.7,0,0
6-24-1973,34.5,72.3,998.2,0.6,3.5,0,0
6-25-1973,35.16666667,71.3,997.8,0.9,4.1,0,0
6-26-1973,36,70.1,996.6,1.7,4.5,0,0
6-27-1973,34.22222222,73.4,995.7,1.5,4.4,0,1
6-28-1973,28.16666667,74,997.5,2.5,4,0,1
6-29-1973,32.5,74.5,997.7,1.5,2.6,0.51,0
6-30-1973,34.72222222,74.7,997.5,1.5,3.4,0,0
07/01/1973,34,76,998.1,2.1,6.4,0,0
07/02/1973,31,74.5,999,2.3,10.6,0,0
07/03/1973,31.11111111,74.1,998.1,3.9,2.2,0,0
07/04/1973,31.38888889,76.7,994.9,2.3,6.9,0,1
07/05/1973,28.16666667,74.4,996.5,3,4.3,0.2,1
07/06/1973,31.66666667,76.4,995.9,2.5,3.5,0,0
07/07/1973,32.72222222,73.9,994.1,3.4,3.7,0,0
07/08/1973,34.16666667,72.1,993.1,3.6,9.3,0,0
07/09/1973,34.72222222,70.3,994,2.8,7.4,0,1
07/10/1973,34.72222222,73.1,994,5.1,5.3,0,0
07/11/1973,35.11111111,73.9,994.4,3.9,3.1,0,0
07/12/1973,33.38888889,75.9,994.9,1.7,3.4,0,0
7-13-1973,28.72222222,77.5,996.9,2.1,3.9,0,1
7-14-1973,29.77777778,79.7,997,2.1,2.4,0.12,1
7-15-1973,26.5,75.5,998.2,2.3,5.2,0.47,1
7-16-1973,29.16666667,77.8,998.9,2.3,1.4,0,1
7-17-1973,30.55555556,78,998.9,2.5,2.5,1.3,0
7-18-1973,30.55555556,77,997.7,2.5,5.4,0,0
7-19-1973,31.11111111,77.2,996.5,2.5,2.4,0,0
7-20-1973,27.61111111,77,999.8,3,2.6,0,1
7-21-1973,30.11111111,78.1,1002.4,3,1.4,0.08,1
7-22-1973,31.22222222,78.1,999.2,2.5,1.2,0.28,1
7-23-1973,28.44444444,78,996.9,2.3,6.3,0,1
7-24-1973,29.66666667,75.5,997.8,2.5,8.2,2.13,1
7-25-1973,28.83333333,76,997.3,2.5,5.9,0,1
7-26-1973,29.11111111,77.4,997.8,2.5,6.1,0.04,1
7-27-1973,31.72222222,75.2,998.6,2.5,5.5,0,0
7-28-1973,31.61111111,74.1,998,2.5,9.3,0,1
7-29-1973,31.77777778,75.2,998.1,2.5,9.2,0,1
7-30-1973,30.44444444,75.2,997.8,2.5,6.3,0,1
7-31-1973,29.61111111,79.2,998.1,2.5,5.2,0.2,1
08/01/1973,29,77.3,1000.4,2.3,3.6,1.34,1
08/02/1973,27.5,75.7,1002.1,2.5,3.3,1.22,1
08/03/1973,29.83333333,78.2,1000.4,2.5,2.1,0,1
08/04/1973,27.27777778,78.5,999.5,2.5,1.4,0.12,1
08/05/1973,26.5,76.5,1001.3,2.3,0.6,0.12,1
08/06/1973,27.33333333,77.7,1002.9,2.5,5.5,1.77,1
08/07/1973,27.38888889,76.1,1001.5,2.5,5.2,0.63,1
08/08/1973,26.66666667,77.7,1000.8,2.5,2.2,0.12,1
08/09/1973,27.83333333,78.2,1001.2,2.5,3.8,0,1
08/10/1973,29.38888889,77.4,1001.1,2.5,2.6,0.35,0
08/11/1973,30.38888889,74.5,997.1,1.6,4.4,0,1
08/12/1973,26.55555556,76.2,996.9,2.5,7,0,1
8-13-1973,28,75.2,996.7,2.5,9.6,0,1
8-14-1973,26.33333333,75.8,998.3,2.5,8.2,0.75,1
8-15-1973,27.66666667,75.5,999.3,2.9,4.9,0,1
8-16-1973,29.27777778,78.8,998.8,3,2.2,0.2,1
8-17-1973,30.27777778,77.8,997.1,3.6,1.7,0.04,0
8-18-1973,28.22222222,76.8,997.7,3.3,4.9,0.01,1
8-19-1973,30.55555556,77,997.9,2.5,1.7,0,1
8-20-1973,31.11111111,77.9,998.1,2.5,2.7,0,0
8-21-1973,32.11111111,77.9,999.4,3.4,3.4,0,0
8-22-1973,27.83333333,79.1,1000.9,2.2,3.3,0.04,1
8-23-1973,31.55555556,77.6,999.8,3.9,3.7,0.71,0
8-24-1973,31.88888889,78.3,999.7,3.4,1.6,0,0
8-25-1973,31.77777778,78.4,998.2,2.5,4.2,0,0
8-26-1973,26,77,1001.4,1.9,3.8,0.02,1
8-27-1973,28.77777778,76.6,1000.5,2.1,1.2,2.36,0
8-28-1973,25.83333333,75.9,1000.6,1.9,1.2,0,1
8-29-1973,28.83333333,77,1000.3,2.5,2.5,0.16,1
8-30-1973,29.5,77.9,999.4,2.5,6.7,0,0
8-31-1973,28.16666667,74.9,1000.5,3.6,9.7,0,0
09/01/1973,28.27777778,75.2,1000.6,2.5,6.4,0,0
09/02/1973,29.33333333,75.8,1000.7,2.5,6.3,0,1
09/03/1973,30.72222222,77,1001.5,3.4,4.2,0,0
09/04/1973,30.5,76.6,1001.1,2.5,1.7,0,0
09/05/1973,27.88888889,77.6,1002.2,2.5,1.7,0,0
09/06/1973,29.27777778,77.5,1002.5,2.8,1.4,1.85,0
09/07/1973,30.33333333,77.6,1001.9,3.7,3.4,0,0
09/08/1973,30,76.4,1001.7,3.1,3.9,0,0
09/09/1973,28.77777778,76.6,1001.9,3.2,7,0,1
09/10/1973,30.5,77,1002.4,3.7,3.3,0.16,0
09/11/1973,29.5,77,1002.1,2.5,4.3,0,0
09/12/1973,27.33333333,75.8,1003.5,2.5,2.2,0.08,1
9-13-1973,27.55555556,75.7,1003.4,2.3,3.6,0.02,1
9-14-1973,28.55555556,73.4,1003.7,3,7.4,0,0
9-15-1973,29.55555556,73.7,1004.2,3.6,8.4,0.04,1
9-16-1973,29.27777778,72,1003.2,3,8.8,0,0
9-17-1973,28.27777778,73.7,1004.3,2.5,4.8,0,1
9-18-1973,30,72.1,1004.5,2.5,7.8,0,0
9-19-1973,30,72.5,1005.5,2.5,6,0,0
9-20-1973,30.22222222,73,1005.1,3.2,2.8,0,0
9-21-1973,30.83333333,73,1005.2,2.2,1.8,0,0
9-22-1973,27.55555556,74.7,1004.3,2.3,2.1,0,1
9-23-1973,29.83333333,76.7,1003.4,2.5,1,0,0
9-24-1973,28.83333333,76.1,1004.6,2.5,3.8,0,0
9-25-1973,28.66666667,74.9,1005.6,2.5,7.2,0,0
9-26-1973,30.5,73.1,1004,2.1,5,0,0
9-27-1973,28.83333333,72.9,1005,2.5,1.8,0,0
9-28-1973,30.27777778,73.4,1005.5,3,2,0,0
9-29-1973,31.38888889,73,1005.7,2.5,1,0,0
9-30-1973,31.22222222,73.2,1005.1,2.5,1.6,0,0
10/01/1973,28.77777778,73,1005,2.5,3.8,0,0
10/02/1973,30.72222222,66.7,1004.4,2.5,4.7,0,0
10/03/1973,26,52.1,1006.2,2.7,3.8,0,0
10/04/1973,23.55555556,71.6,1009,2,4.6,0.04,1
10/05/1973,24.27777778,73.9,1009.4,1.9,3.1,0.98,1
10/06/1973,23.83333333,71.3,1009.5,2.5,3.5,0.67,0
10/07/1973,26.44444444,72.4,1008.1,2.5,0.3,0.04,0
10/08/1973,26.83333333,70.3,1007.9,2.5,3.3,0,0
10/09/1973,26.44444444,68,1007.5,2.5,1.2,0,0
10/10/1973,26.55555556,62.3,1005.9,3.1,2.5,0,0
10/11/1973,27,60.2,1006.8,3.7,2.2,0,0
10/12/1973,26.33333333,61.2,1005.2,2.5,2.5,0,0
10-13-1973,28,59.9,1008.5,3.1,1.5,0,0
10-14-1973,27.72222222,65.7,1009.4,2.3,0.8,0,0
10-15-1973,27.83333333,63.5,1009.1,2.5,3.2,0,0
10-16-1973,28.44444444,62,1010,2.5,2.1,0,0
10-17-1973,27,56.3,1009.1,2.5,3.7,0,0
10-18-1973,26.83333333,62.3,1008.8,2.5,1.8,0,0
10-19-1973,24.16666667,58.1,1009.3,1.9,0.3,0,0
10-20-1973,24.22222222,59.4,1011.9,2,0.2,0,0
10-21-1973,24.38888889,55.2,1012,2.3,1.6,0,0
10-22-1973,27,55.4,1011.7,2.5,1.7,0,0
10-23-1973,23.16666667,59,1011.2,1.6,1,0,0
10-24-1973,25,57.2,1009.8,2.1,2.5,0,0
10-25-1973,22,60.5,1011.1,2.2,0.8,0,0
10-26-1973,25.66666667,59,1012.5,1.8,1,0,0
10-27-1973,24.83333333,57.2,1011.8,1.9,0.7,0,0
10-28-1973,24,55.9,1012.6,2.5,1.7,0,0
10-29-1973,23.83333333,51.2,1011.5,2.5,4.6,0,0
10-30-1973,23.83333333,50.6,1012.1,2.5,3.8,0,0
10-31-1973,22.77777778,47.8,1013.2,2.5,2.2,0,0
11/01/1973,22.83333333,46.1,1011.2,2.5,4.1,0,0
11/02/1973,22.72222222,46.7,1008.4,2.5,1.8,0,0
11/03/1973,21,53.6,1009,1.9,0.8,0,0
11/04/1973,23.22222222,51.8,1010.9,2.5,1.8,0,0
11/05/1973,22.33333333,57.6,1013.2,2.5,3.3,0,0
11/06/1973,22.55555556,58.2,1011.8,2.2,1.1,0,0
11/07/1973,22,54.9,1010.1,2.5,1.8,0,0
11/08/1973,20.33333333,53.6,1010.3,2.5,1.3,0,0
11/09/1973,20.77777778,53.2,1011.4,2.5,1.2,0,0
11/10/1973,21.5,45.7,1011.9,2.1,8.6,0,1
11/11/1973,21,49.7,1013.8,2.5,1.7,0,0
11/12/1973,19,46.7,1016.2,2.3,2.1,0,0
11-13-1973,19,42.3,1016.4,2.5,1.9,0,0
11-14-1973,19.5,37.7,1017.1,3.1,3.2,0,0
11-15-1973,18.83333333,39.9,1017.1,3.1,2.5,0,0
11-16-1973,16.77777778,42.3,1014.9,2.5,2.2,0,0
11-17-1973,16.83333333,41.9,1012.7,2.5,3.7,0,0
11-18-1973,18.33333333,41.6,1012.4,3,2.8,0,0
11-19-1973,19.16666667,45.8,1014.9,2.1,0.8,0,0
11-20-1973,17.38888889,46.7,1015.6,2.3,1.4,0,0
11-21-1973,19.16666667,48.5,1015.7,2.1,1.4,0,0
11-22-1973,19.72222222,49.7,1013.6,2.7,1.1,0,2
11-23-1973,18.27777778,50.5,1016,2.1,1.3,0,0
11-24-1973,19.16666667,45.2,1018.2,2,1.5,0,0
11-25-1973,18.16666667,42.5,1019,2.2,4.2,0,0
11-26-1973,18.33333333,42.8,1015.7,2.5,3,0,0
11-27-1973,17.83333333,46.1,1015.4,2.5,1.3,0,0
11-28-1973,17.11111111,49.8,1017.5,2.1,0.5,0,0
11-29-1973,18.16666667,47.9,1015.9,1.9,2,0,0
11-30-1973,17,49.1,1017,2.7,1.4,0,2
12/01/1973,18.61111111,48.6,1013.6,2,0.4,0,0
12/02/1973,18.16666667,49.1,1013.2,2.1,3.2,0,0
12/03/1973,16.33333333,52.4,1017.8,2.5,3.8,0.24,1
12/04/1973,15.66666667,47.8,1019.6,1.9,2.7,0,2
12/05/1973,15.55555556,48.2,1017,2.5,4,0,0
12/06/1973,14.72222222,40.7,1016.4,2.3,1.8,0,0
12/07/1973,15.27777778,47.8,1015.8,1.4,1.9,0,0
12/08/1973,15.55555556,44.9,1016.3,1.7,2.5,0,0
12/09/1973,15.27777778,43.3,1015,2.5,5.3,0,0
12/10/1973,14.61111111,43.5,1013.4,2.5,9,0,0
12/11/1973,14.77777778,45.5,1015.4,2.5,2,0,0
12/12/1973,16.66666667,45.5,1018,2.7,3.5,0,0
12-13-1973,15.61111111,38.8,1019.3,2.5,5.4,0,0
12-14-1973,15.55555556,37.9,1019.3,2.3,4.7,0,0
12-15-1973,16,41.6,1016.1,2.1,2.6,0,0
12-16-1973,16.61111111,47.3,1014,2,7.5,0,1
12-17-1973,13.33333333,49.1,1018.1,2,7.9,0.08,0
12-18-1973,10.72222222,45.1,1019.7,2.2,8.2,0,0
12-19-1973,10.66666667,44.6,1017.6,2.5,7,0,0
12-20-1973,9.444444444,43.1,1018.5,0.3,1.5,0,2
12-21-1973,12.77777778,47.5,1019.2,0.7,1.4,0,2
12-22-1973,13,46.7,1019,0.7,1.2,0,2
12-23-1973,10.61111111,44.6,1018.3,1.3,6.6,0,2
12-24-1973,9.833333333,41.9,1020.5,1.4,3.5,0,2
12-25-1973,9.277777778,41.5,1020.2,0.6,5.5,0,2
12-26-1973,7.5,41.6,1020.2,0.6,2.8,0,2
12-27-1973,4.777777778,39.6,1023.1,0.2,3.8,0,2
12-28-1973,5.833333333,38.4,1021.2,0.9,5.2,0,2
12-29-1973,8.5,38,1020,1,5,0,2
12-30-1973,8.777777778,36.7,1022.5,0.7,2.3,0,2
12-31-1973,9.777777778,38.1,1021.8,1.2,3,0,0
01/01/1974,13.77777778,40.3,1018.6,2.1,3.6,0,0
01/02/1974,10,39.2,1016.1,1.4,3.3,0,0
01/03/1974,12,39.6,1015.9,1.7,2.5,0,0
01/04/1974,12.55555556,38.7,1017.4,1.5,1.6,0,0
01/05/1974,13.55555556,37.9,1017.1,1.5,2.4,0,0
01/06/1974,14.66666667,43.4,1016.2,1.1,0.3,0,0
01/07/1974,13.27777778,44.1,1016.1,1.4,1.7,0,2
01/08/1974,15.27777778,39.7,1015.9,1.9,4.6,0,0
01/09/1974,14.83333333,33,1015.7,2.3,8,0,0
01/10/1974,13.55555556,36.1,1013.7,2.5,8,0,0
01/11/1974,14.83333333,38.6,1011.9,2.1,2,0,1
01/12/1974,17.5,43.1,1008.8,2.2,3.9,0,0
1-13-1974,16.33333333,45.5,1010.1,1.4,1.6,0,0
1-14-1974,13.16666667,29,1011.6,2.5,8.4,0,0
1-15-1974,11,35.2,1016,2.2,5.2,0,0
1-16-1974,11.83333333,29.9,1017.1,2.5,8.8,0,0
1-17-1974,13.83333333,31.7,1016.8,2,2.5,0,0
1-18-1974,12.83333333,38.9,1018.3,1.7,2.2,0,0
1-19-1974,15,41,1016.6,2.3,4.4,0,0
1-20-1974,17.27777778,49,1013.1,1.8,5.7,0,1
1-21-1974,14,43.8,1015.7,2.1,6.6,0,0
1-22-1974,11.72222222,42.8,1017.3,2,5.7,0,0
1-23-1974,14.16666667,41.3,1015.8,2,8.6,0,0
1-24-1974,14.61111111,39.2,1015,2.5,11.5,0,0
1-25-1974,15.55555556,38.9,1015.5,2.5,8.8,0,0
1-26-1974,16.72222222,43.6,1011.5,2.2,4.7,0,0
1-27-1974,14.5,39.2,1010.9,2.5,10.5,0,0
1-28-1974,14,37.4,1014.9,2.3,2.3,0,0
1-29-1974,15.61111111,35.6,1015.3,1.7,5,0,0
1-30-1974,15.72222222,39.5,1013.9,2.1,4.4,0,0
1-31-1974,14.27777778,39.7,1014.7,2.3,9.8,0,0
02/01/1974,16,39.9,1016.3,2.5,7.2,0,0
02/02/1974,17,46,1012.7,2,4,0,2
02/03/1974,16.5,49.7,1010,3.1,8.3,0,0
02/04/1974,13.55555556,39.7,1013.5,2.1,3,0,0
02/05/1974,11.27777778,33.8,1015.6,2.5,7.8,0,0
02/06/1974,8.833333333,27.5,1015.5,2.5,6,0,0
02/07/1974,10,23.8,1016.4,2.5,2.9,0,0
02/08/1974,10.5,28.7,1019,2.3,5.4,0,0
02/09/1974,11.83333333,26.9,1019.7,2.3,9.2,0,0
02/10/1974,11.33333333,34.4,1015.3,2.1,2.8,0,0
02/11/1974,13.27777778,40.7,1013.5,1.8,2,0,0
02/12/1974,14.66666667,40.4,1016.9,2.2,4.1,0,0
2-13-1974,15.44444444,39.2,1019,2.5,4.7,0,0
2-14-1974,15.55555556,38.4,1017,2.5,5.1,0,0
2-15-1974,17.77777778,40.6,1015.9,2.5,5.7,0,0
2-16-1974,15.44444444,45.1,1015.6,1.8,3.4,0,0
2-17-1974,18.33333333,50.3,1014.3,1.6,0.6,0,0
2-18-1974,18,46.7,1014.8,2.3,6.3,0,0
2-19-1974,17.66666667,44.6,1014.5,2.5,5.2,0,0
2-20-1974,19.44444444,46.9,1013.8,2.3,3.1,0,0
2-21-1974,20.83333333,51.3,1012.2,1.8,1,0,0
2-22-1974,23.83333333,52.7,1008.2,2,3.3,0,2
2-23-1974,21.16666667,48.5,1011.3,1.7,4,0,0
2-24-1974,18.72222222,47.4,1013,2.5,7.3,0,0
2-25-1974,19,42.5,1013.6,2.3,6.5,0,0
2-26-1974,17.5,43.3,1014.3,2.3,5.2,0,0
2-27-1974,17.66666667,43.4,1013.5,2.5,8,0,0
2-28-1974,18.22222222,44.4,1015,2.3,5.7,0,0
03/01/1974,21.5,47.3,1013.5,2.5,10,0,0
03/02/1974,22,48.5,1012.6,2.7,10.5,0,0
03/03/1974,23.16666667,51.5,1011.7,2.1,3,0,0
03/04/1974,21.83333333,55.1,1008,2.5,5.6,0,0
